Model,Condition,Log,Class,volume_vox,components,continuity,compactness
UNet++ log-split,2D + 3D MRF,kmen9,Background,3535593,2,1.0,1.7117
UNet++ log-split,2D + 3D MRF,kmen9,Bark,6063,3,0.6569,36.9248
UNet++ log-split,2D + 3D MRF,kmen9,Wood,649637,1,1.0,12.5211
UNet++ log-split,2D + 3D MRF,kmen9,Knot,43,1,1.0,3.0831
UNet++ log-split,2D + 3D MRF,kmen9,Crack,2968,49,0.6412,44.1714
UNet++ random-split,2D only,Dub 9,Background,2822048,4,1.0,5.3524
UNet++ random-split,2D only,Dub 9,Bark,194499,8,0.9999,186.9962
UNet++ random-split,2D only,Dub 9,Wood,1169508,1,1.0,12.0461
UNet++ random-split,2D only,Dub 9,Knot,7931,14,0.8063,23.1922
UNet++ random-split,2D only,Dub 9,Crack,318,66,0.3899,34.7789
UNet++ random-split,2D only,kmen9,Background,3534704,11,1.0,1.7972
UNet++ random-split,2D only,kmen9,Bark,7817,25,0.5331,37.0654
UNet++ random-split,2D only,kmen9,Wood,649369,3,1.0,12.8295
UNet++ random-split,2D only,kmen9,Knot,36,6,0.8333,4.9387
UNet++ random-split,2D only,kmen9,Crack,2378,177,0.1573,33.9213
UNet++ random-split,2D + 3D MRF,Dub 9,Background,2821681,1,1.0,4.8081
UNet++ random-split,2D + 3D MRF,Dub 9,Bark,194973,2,1.0,167.0159
UNet++ random-split,2D + 3D MRF,Dub 9,Wood,1169700,1,1.0,10.796
UNet++ random-split,2D + 3D MRF,Dub 9,Knot,7632,9,0.8173,21.6232
UNet++ random-split,2D + 3D MRF,Dub 9,Crack,318,66,0.3899,34.7789
UNet++ random-split,2D + 3D MRF,kmen9,Background,3534750,1,1.0,1.7131
UNet++ random-split,2D + 3D MRF,kmen9,Bark,7239,11,0.5696,23.6262
UNet++ random-split,2D + 3D MRF,kmen9,Wood,649910,1,1.0,12.4125
UNet++ random-split,2D + 3D MRF,kmen9,Knot,27,2,0.963,3.7013
UNet++ random-split,2D + 3D MRF,kmen9,Crack,2378,177,0.1573,33.9213
